GEO_ID,NAME,Median Age,Median Age_MOE,Median Age (Male),Median Age (Male)_MOE,Median Age (Female),Median Age (Female)_MOE
1500000US010890110233,Block Group 3; Census Tract 110.23; Madison County; Alabama,36.9,1.1,37.3,1.7,36.6,2.4
1500000US010890110241,Block Group 1; Census Tract 110.24; Madison County; Alabama,38.3,4.5,40.1,3.7,34.7,7.9
1500000US010890110242,Block Group 2; Census Tract 110.24; Madison County; Alabama,38.7,5.8,36.9,5.7,42.3,7.3
1500000US010890110251,Block Group 1; Census Tract 110.25; Madison County; Alabama,47.8,24.7,29.7,20.1,61.4,3.9
1500000US010890110252,Block Group 2; Census Tract 110.25; Madison County; Alabama,28.5,14.3,34,29.7,26.3,13.6
1500000US010890110253,Block Group 3; Census Tract 110.25; Madison County; Alabama,41.1,4.2,32.9,21.5,42.7,6
1500000US010890110254,Block Group 4; Census Tract 110.25; Madison County; Alabama,38.1,2.9,39.8,8.7,37.4,3.1
1500000US010890110261,Block Group 1; Census Tract 110.26; Madison County; Alabama,41.1,6.5,41,20.5,41.1,5.7
1500000US010890110262,Block Group 2; Census Tract 110.26; Madison County; Alabama,41.7,3,41.8,6.3,41.6,4.9
1500000US010890110271,Block Group 1; Census Tract 110.27; Madison County; Alabama,35.6,7.4,31.6,10.6,44.3,13.3
1500000US010890110272,Block Group 2; Census Tract 110.27; Madison County; Alabama,40.6,9.6,42.6,13.4,39.5,10.1
1500000US010890110281,Block Group 1; Census Tract 110.28; Madison County; Alabama,45.6,18.1,32.7,2.5,61.1,13
1500000US010890110282,Block Group 2; Census Tract 110.28; Madison County; Alabama,21.8,7.7,24,6.8,21.7,31
1500000US010890110283,Block Group 3; Census Tract 110.28; Madison County; Alabama,43.6,12.8,47.3,19.1,43.2,21.4
1500000US010890111001,Block Group 1; Census Tract 111; Madison County; Alabama,22.7,3.9,24.1,3.9,22.3,4.6
1500000US010890111002,Block Group 2; Census Tract 111; Madison County; Alabama,48.1,5.4,49.2,3.1,42.4,10.5
1500000US010890112011,Block Group 1; Census Tract 112.01; Madison County; Alabama,37.7,5.7,37.7,5.2,37.1,9.9
1500000US010890112012,Block Group 2; Census Tract 112.01; Madison County; Alabama,56.3,4.3,55.9,6.1,56.5,6.6
1500000US010890112021,Block Group 1; Census Tract 112.02; Madison County; Alabama,30.8,6.1,35.3,5.1,29.8,2
